"CÓDIGO ÓRGÃO SUPERIOR";"NOME ÓRGÃO SUPERIOR";"CÓDIGO ÓRGÃO";"NOME ÓRGÃO";"CÓDIGO UNIDADE GESTORA";"NOME UNIDADE GESTORA";"CATEGORIA ECONÔMICA";"ORIGEM RECEITA";"ESPÉCIE RECEITA";"DETALHAMENTO";"VALOR PREVISTO ATUALIZADO";"VALOR LANÇADO";"VALOR REALIZADO";"PERCENTUAL REALIZADO";"DATA LANÇAMENTO";"ANO EXERCÍCIO"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"884,67";"0,00";"20/04/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"6080,87";"0,00";"30/03/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"2730,43";"0,00";"29/04/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"1541,53";"0,00";"27/05/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"1537,31";"0,00";"27/04/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"7728,85";"0,00";"28/02/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"0,00";"0,00";"04/06/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"963,63";"0,00";"20/03/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"0,00";"0,00";"12/06/2020";"2020"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORÇ. FIN. E ANÁL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarcimentos";"RESTITUIÇÃO DE CONVÊNIOS-PRIMÁRIAS-DÍV.ATIVA";"0,00";"0,00";"1864,82";"0,00";"02/03/2020";"2020"
